,DEPT,GRTO,GRKT,GRTH,GKUT,POTA,URAN,THOR,MSFL,LLS,LLD,GR,CALI,BHVT,AHVT,RHOB,DRHO,PE,DPHI,XPHI,NPHI,NDSN,FDSN,TENS,MDT,SPHI,ITTT,DXDT,DYDT
20624,10512.0,74.7568,36.9607,17.6391,80.1932,1.413,4.8132,5.004,19.0547,21.9485,27.1395,89.4271,8.1263,246.4195,131.0589,2.6441,0.0106,4.5513,0.0409,0.1446,0.2059,17120.0,2080.0,6521.0752,77.3235,0.2163,44162.6445,141.2764,138.0544
20625,10512.5,77.8365,38.9806,19.0398,83.2214,1.4647,4.9255,5.4014,14.9329,19.4523,23.2633,97.202,8.1088,246.2395,130.9614,2.6437,0.0159,4.3971,0.0412,0.1475,0.2111,17860.0,1753.3334,6541.2588,76.55,0.2107,44123.9844,140.7012,137.0076
20626,10513.0,86.1595,43.4477,21.9422,91.7951,1.5903,5.3827,6.2247,13.0312,17.9689,22.3237,100.1817,8.123,246.0599,130.8642,2.606,0.0139,3.8883,0.0646,0.1809,0.2598,16120.0,1380.0,6622.1387,77.1492,0.2151,44085.7109,140.6466,137.1419
20627,10513.5,91.7535,47.2551,24.6128,97.3857,1.686,5.5812,6.9823,13.3757,18.871,23.9142,103.1689,8.1261,245.88,130.7668,2.5741,0.0105,3.5534,0.0844,0.1824,0.2494,15953.333,1405.0,6525.7925,78.8693,0.2276,44047.1367,140.8947,137.7757
20628,10514.0,94.4066,48.6669,25.6086,100.1786,1.7211,5.735,7.2649,15.6333,19.2988,24.0664,107.9965,8.1216,245.6999,130.6692,2.5616,0.0102,3.4343,0.0922,0.1747,0.2293,14760.0,1390.0,6513.1626,80.005,0.2358,44007.7031,141.3364,138.327
20629,10514.5,92.7064,48.0187,25.4085,98.3829,1.6899,5.6072,7.2081,16.7342,18.1659,24.7199,112.3087,8.1284,245.52,130.5718,2.5584,0.0077,3.3594,0.0942,0.1734,0.2255,15060.0,1586.6666,6458.9536,80.1517,0.2369,43967.6992,141.2821,138.4938
20630,10515.0,90.9378,46.9595,24.9469,96.7977,1.6468,5.5487,7.0771,16.0689,21.7582,28.1272,108.8964,8.1338,245.3398,130.474,2.5665,0.0062,3.3394,0.0892,0.1757,0.2333,15086.667,1473.3334,6504.355,79.9697,0.2356,43927.625,140.4823,138.3092
20631,10515.5,89.8082,46.732,24.9341,95.6463,1.6325,5.4458,7.0735,16.4901,21.6693,29.4953,101.0979,8.1263,245.1594,130.3762,2.571,0.0095,3.3825,0.0863,0.1662,0.2172,15680.0,1753.3334,6534.4775,79.9428,0.2354,43887.6406,139.3413,138.0801
20632,10516.0,91.8791,48.5213,26.0599,97.6589,1.685,5.4707,7.3929,21.909,25.0408,33.0044,101.0764,8.1354,244.9793,130.2786,2.5673,0.0131,3.3651,0.0886,0.1668,0.2168,16180.0,1660.0,6540.0024,80.1663,0.237,43847.668,138.4917,138.1356
20633,10516.5,95.7353,51.6734,27.5107,101.6422,1.8087,5.5632,7.8045,24.2521,29.2994,38.6683,107.1358,8.1314,244.7987,130.1805,2.5539,0.0125,3.2292,0.0969,0.1715,0.2199,16533.334,1686.6666,6551.0869,80.7528,0.2413,43807.5859,138.2271,138.6622
