,DEPT,GRUR,GRTH,GAMMAKT,POTA,URAN,THOR,LLS,LLD,NPHI,GR,MSFL,CALI,BHVT,AHVT,RHOB,DRHO,PE,DPE,QN,QF,DPHI,TENS,MNDT,DXDT,DYDT,SPHI,ITTT,XPHI
13832,7105.5,15.8817,2.6787,7.8507,0.3697,1.7682,0.7601,1437.5101,1872.843,0.0062,25.8807,1549.3552,8.0867,1330.3329,699.2966,2.7142,0.0102,5.0864,-0.0056,-0.0157,0.2151,-0.0025,4683.5757,50.2783,95.7151,94.0206,0.0189,255916.0938,0.0067
13833,7106.0,18.2839,2.0856,5.0495,0.2118,2.0356,0.5918,1181.8822,1383.8076,0.0068,23.2032,1888.5609,8.0937,1330.1544,699.2006,2.7249,0.0099,5.0609,-0.0123,0.0263,0.1479,-0.0087,4681.8457,50.327,96.0259,93.5835,0.0193,255878.3906,0.0055
13834,7106.5,20.0106,0.1977,3.5463,0.2393,2.2279,0.0561,769.8299,936.8478,0.0071,24.1727,1812.0294,8.0977,1329.9757,699.1043,2.7346,0.0115,5.0152,-0.0282,-0.1599,0.0557,-0.0144,4698.6855,50.327,96.0259,93.5835,0.0193,255878.3906,0.0042
13835,7107.0,17.516,0.2063,6.8577,0.4754,1.9501,0.0585,590.2781,737.9986,0.0073,26.2462,475.6343,8.0969,1329.7971,699.0081,2.7222,0.0102,4.9354,-0.0262,-0.3824,-0.2612,-0.0071,4655.9624,50.4203,96.0033,93.5898,0.0199,255828.0469,0.0063
13836,7107.5,15.0806,0.2197,10.1711,0.7113,1.679,0.0624,504.7982,668.6746,0.0092,24.7843,244.6006,8.094,1329.6184,698.9118,2.7106,0.005,4.8762,-0.0086,-0.2472,-0.5249,-0.0003,4655.8525,50.4203,96.0033,93.5898,0.0199,255828.0469,0.0095
13837,7108.0,17.198,0.1718,7.4815,0.5225,1.9147,0.0488,560.1704,721.1515,0.011,25.5275,40.8506,8.1065,1329.4397,698.8156,2.7191,0.0021,4.8481,-0.0065,0.0642,-0.4471,-0.0053,4647.6152,50.6196,95.6864,93.9805,0.0214,255790.2344,0.0094
13838,7108.5,17.4751,0.5221,7.0333,0.4654,1.9456,0.1482,667.5256,752.2361,0.0143,28.9563,31.8698,8.1006,1329.2607,698.7192,2.7105,-0.0002,4.7613,-0.0083,0.1052,-0.152,-0.0003,4686.3545,50.7919,95.3012,94.6476,0.0226,255752.2656,0.0131
13839,7109.0,18.6922,0.649,5.9164,0.3765,2.0811,0.1842,588.096,668.6935,0.0138,27.5175,34.3025,8.0959,1329.0818,698.6228,2.6781,-0.0027,4.6602,0.0006,0.0453,0.0005,0.0187,4704.8896,50.7919,95.3012,94.6476,0.0226,255752.2656,0.0182
13840,7109.5,14.2615,5.3091,9.7834,0.3198,1.5878,1.5066,510.1562,576.4362,0.0135,23.7178,65.0263,8.0953,1328.9031,698.5266,2.6712,-0.001,4.7351,0.004,0.1614,0.0603,0.0227,4690.3506,50.6915,95.0576,95.4717,0.0219,255701.4844,0.0192
13841,7110.0,22.0487,5.1335,5.8323,0.0499,2.4548,1.4567,371.7895,479.0285,0.0115,23.688,60.2079,8.0952,1328.7242,698.4303,2.6824,0.0073,4.8586,-0.0095,0.3769,0.1542,0.0161,4684.0137,50.6915,95.0576,95.4717,0.0219,255701.4844,0.0158
